,EM,aug,dataset,examples,f1,seed
553,0.451,True,newsqa,16.0,1.231,45.0
554,0.166,True,newsqa,16.0,0.773,46.0
555,2.018,True,newsqa,32.0,5.983,42.0
556,0.499,True,newsqa,32.0,1.293,43.0
557,0.878,True,newsqa,32.0,3.03,44.0
558,1.353,True,newsqa,32.0,3.643,45.0
559,2.54,True,newsqa,32.0,7.377,46.0
560,6.363,True,newsqa,64.0,13.798,42.0
561,5.556,True,newsqa,64.0,13.505,43.0
562,8.381,True,newsqa,64.0,15.926,44.0
563,5.745,True,newsqa,64.0,10.744,45.0
564,7.764,True,newsqa,64.0,13.48,46.0
565,12.488,True,newsqa,128.0,21.688,42.0
566,13.913,True,newsqa,128.0,20.813,43.0
567,15.907,True,newsqa,128.0,24.769,44.0
568,15.812,True,newsqa,128.0,27.498,45.0
569,14.055,True,newsqa,128.0,24.307,46.0
570,20.513,True,newsqa,256.0,30.201,42.0
571,18.519,True,newsqa,256.0,29.146,43.0
572,21.391,True,newsqa,256.0,32.927,44.0
573,17.759,True,newsqa,256.0,27.301,45.0
574,23.575,True,newsqa,256.0,33.84,46.0
575,3.169,True,hotpotqa,16.0,5.233,42.0
576,10.863,True,hotpotqa,16.0,16.921,43.0
577,7.677,True,hotpotqa,16.0,12.42,44.0
578,4.355,True,hotpotqa,16.0,8.565,45.0
579,8.033,True,hotpotqa,16.0,14.384,46.0
580,8.609,True,hotpotqa,32.0,13.316,42.0
581,15.082,True,hotpotqa,32.0,21.988,43.0
582,9.1,True,hotpotqa,32.0,13.425,44.0
583,11.591,True,hotpotqa,32.0,19.07,45.0
584,9.541,True,hotpotqa,32.0,15.843,46.0
585,18.607,True,hotpotqa,64.0,27.308,42.0
586,22.572,True,hotpotqa,64.0,33.006,43.0
587,15.15,True,hotpotqa,64.0,22.735,44.0
588,19.607,True,hotpotqa,64.0,29.459,45.0
589,16.895,True,hotpotqa,64.0,26.522,46.0
590,29.317,True,hotpotqa,128.0,41.985,42.0
591,27.775,True,hotpotqa,128.0,39.199,43.0
592,29.927,True,hotpotqa,128.0,42.447,44.0
593,27.826,True,hotpotqa,128.0,39.469,45.0
594,30.588,True,hotpotqa,128.0,44.081,46.0
595,38.705,True,hotpotqa,256.0,53.002,42.0
596,36.485,True,hotpotqa,256.0,50.085,43.0
597,36.74,True,hotpotqa,256.0,50.196,44.0
598,36.858,True,hotpotqa,256.0,50.663,45.0
599,33.367,True,hotpotqa,256.0,46.825,46.0
600,,ipsum,hotpotqa,16.0,,42.0
601,,ipsum,hotpotqa,16.0,,43.0
602,,ipsum,hotpotqa,16.0,,44.0
603,,ipsum,hotpotqa,16.0,,45.0
604,,ipsum,hotpotqa,16.0,,46.0
605,4.847,ipsum,hotpotqa,32.0,7.541,42.0
606,,ipsum,hotpotqa,32.0,,43.0
607,,ipsum,hotpotqa,32.0,,44.0
608,,ipsum,hotpotqa,32.0,,45.0
609,,ipsum,hotpotqa,32.0,,46.0
610,6.829,ipsum,hotpotqa,64.0,11.119,42.0
611,15.404,ipsum,hotpotqa,64.0,22.707,43.0
612,13.659,ipsum,hotpotqa,64.0,20.319,44.0
613,10.625,ipsum,hotpotqa,64.0,15.836,45.0
614,9.846,ipsum,hotpotqa,64.0,15.139,46.0
615,17.607,ipsum,hotpotqa,128.0,25.254,42.0
616,22.505,ipsum,hotpotqa,128.0,32.483,43.0
617,23.318,ipsum,hotpotqa,128.0,32.943,44.0
618,17.929,ipsum,hotpotqa,128.0,25.982,45.0
619,16.929,ipsum,hotpotqa,128.0,24.032,46.0
620,30.825,ipsum,hotpotqa,256.0,43.334,42.0
621,32.469,ipsum,hotpotqa,256.0,44.458,43.0
622,35.13,ipsum,hotpotqa,256.0,48.064,44.0
623,33.757,ipsum,hotpotqa,256.0,46.173,45.0
624,34.74,ipsum,hotpotqa,256.0,47.507,46.0
